"","sample","Time_start","flux_start","fDOY_end","file","flux_source","position","measurement_day_alt","month_alt","year_alt","measurement_day_actual","tag","t0","t1","t2","t3","directon","chamber","chamber_SA_cm2","soil_moisture","notes","measurement_day_altyr","avg_respT","campaign","species","ID_measurement","flux.CO2","flux.CO2_umol","flux.CH4","CH4_CO2","R2.CO2","R2.CH4","p.CO2","p.CH4","fieldnotes","wall_thickness_mm","species_s"
"1","MD1",0.424722222222222,"2023-09-28 12:04:00",0.425763888888889,"f0005","m","mid","1/01/2002",1,2002,"05/16/2022",1,38.6,35.6,36.3,NA,"N","med",83.32,NA,"","/01/2002",36.8333333333333,"may22","Nasuti","MD1-1",726.838146694354,726838.146694354,7112.58582140707,0.00978565290464593,0.998577261032229,0.999126297907755,2.44752196028293e-131,5.66820552402998e-141,NA,NA,"N. magnus"
"2","MD1",0.427268518518518,"2023-09-28 12:04:00",0.428310185185185,"f0005","m","low","1/01/2002",1,2002,"05/16/2022",2,31.4,31.4,30.9,NA,"E","med",83.32,NA,"","/01/2002",31.2333333333333,"may22","Nasuti","MD1-2",445.998183085318,445998.183085318,4943.03968256274,0.011083093765916,0.997790143958545,0.998117626042502,1.23099857971453e-122,8.33192431956192e-126,NA,NA,"N. magnus"
"3","MD1",0.429513888888889,"2023-09-28 12:04:00",0.430555555555556,"f0005","m","mid","1/01/2002",1,2002,"05/16/2022",3,33.3,33,34.2,NA,"S","med",83.32,NA,"","/01/2002",33.5,"may22","Nasuti","MD1-3",603.077219189556,603077.219189556,8710.45154626747,0.0144433436865232,0.999719486518558,0.999852129491402,2.00993018799299e-163,4.47578251652914e-176,NA,NA,"N. magnus"
"4","MD1",0.43224537037037,"2023-09-28 12:04:00",0.433287037037037,"f0005","m","low","1/01/2002",1,2002,"05/16/2022",4,41.4,42.5,41.8,NA,"W","med",83.32,NA,"","/01/2002",41.9,"may22","Nasuti","MD1-4",278.988744301397,278988.744301397,4291.343658153,0.0153817806123281,0.994059181801126,0.993929004539494,4.29039405315901e-103,1.15039210239911e-102,NA,NA,"N. magnus"
"5","MD1",31.4209490740741,"2023-09-28 12:04:00",31.4219907407407,"f0007","m","top","2/01/2002",2,2002,"05/16/2022",5,38.6,39.2,37.6,NA,"","med",83.32,NA,"","/01/2002",38.4666666666667,"may22","Nasuti","MD1-5",256.404054433062,256404.054433062,2156.54046051446,0.00841071123185946,0.997647183048081,0.998564440184179,1.02901357460603e-122,1.3872374800366e-132,NA,NA,"N. magnus"
"9","MD10",334.420659722222,"2023-09-28 15:01:00",334.421701388889,"f0019","m","low","12/01/2002",12,2002,"05/17/2022",1,32,32.2,32.3,NA,"N","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.1666666666667,"may22","Ami","MD10-1",394.525959594908,394525.959594908,4111.91423659021,0.0104224174267575,0.999444612215518,0.999768062838927,1.48052234460284e-151,5.32048014090525e-169,NA,NA,"A. laurensis"
"10","MD10",334.422858796296,"2023-09-28 15:01:00",334.423900462963,"f0019","m","mid","12/01/2002",12,2002,"05/17/2022",2,31.5,31.5,31.6,NA,"E","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",31.5333333333333,"may22","Ami","MD10-2",239.493408672777,239493.408672777,4034.77095723337,0.0168471064802712,0.997482348708153,0.999197065191704,4.64580169868252e-120,1.21436694890108e-142,NA,NA,"A. laurensis"
"11","MD10",334.42494212963,"2023-09-28 15:01:00",334.425983796296,"f0019","m","low","12/01/2002",12,2002,"05/17/2022",3,31.1,31.2,31.3,NA,"S","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",31.2,"may22","Ami","MD10-3",294.079969394032,294079.969394032,2352.40284675975,0.00799919440826591,0.998718882260823,0.999596814724191,2.07395910379188e-133,2.96328992029377e-156,NA,NA,"A. laurensis"
"12","MD10",334.427199074074,"2023-09-28 15:01:00",334.428240740741,"f0019","m","mid","12/01/2002",12,2002,"05/17/2022",4,31.9,32.2,32.3,NA,"W","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.1333333333333,"may22","Ami","MD10-4",255.118604391267,255118.604391267,3993.10220355445,0.0156519443694916,0.998226220846467,0.998052127963954,5.57869803828327e-127,3.95038829481196e-125,NA,NA,"A. laurensis"
"16","MD11",365.422280092593,"2023-09-28 15:54:00",365.423321759259,"f0020","m","mid","1/01/2003",1,2003,"05/17/2022",1,31.8,30.8,30.7,NA,"N","med",83.32,NA,"Extender","/01/2003",31.1,"may22","Nasuti","MD11-1",1143.63511485451,1143635.11485451,12694.1223775335,0.011099801162671,0.999507796913692,0.999458799835568,5.72281824508475e-154,4.50241359907668e-152,NA,NA,"N. magnus"
